This includes the running steps:
500 
500 
218 
500 
500 
62 
437 
500 
68 
500 
467 
349 
150 
218 
49 
303 
382 
145 
199 
500 
152 
231 
33 
62 
455 
451 
62 
396 
500 
73 
102 
74 
72 
202 
13 
217 
64 
11 
104 
223 
306 
49 
37 
114 
283 
15 
496 
246 
96 
9 
96 
219 
6 
378 
238 
18 
43 
19 
22 
45 
84 
161 
84 
267 
9 
111 
6 
40 
21 
114 
136 
7 
43 
113 
342 
94 
50 
29 
187 
63 
216 
12 
21 
13 
52 
341 
17 
201 
348 
35 
5 
5 
73 
69 
285 
56 
6 
236 
92 
500 
6 
29 
54 
34 
158 
6 
37 
6 
33 
175 
8 
4 
15 
88 
241 
68 
5 
131 
88 
15 
36 
126 
310 
15 
11 
10 
121 
128 
75 
5 
52 
48 
35 
63 
380 
35 
8 
282 
87 
76 
93 
36 
25 
102 
6 
55 
107 
93 
45 
90 
247 
45 
19 
164 
5 
30 
10 
215 
203 
55 
81 
58 
54 
60 
78 
146 
2 
35 
263 
105 
69 
67 
76 
11 
2 
20 
26 
224 
47 
104 
30 
41 
97 
100 
89 
74 
18 
2 
29 
11 
34 
55 
40 
59 
221 
454 
48 
10 
40 
79 
42 
34 
83 
69 
20 
108 
125 
22 
75 
252 
93 
263 
6 
10 
133 
23 
61 
210 
102 
19 
16 
64 
96 
11 
4 
85 
6 
77 
41 
12 
51 
32 
248 
17 
53 
118 
53 
68 
23 
56 
187 
22 
2 
4 
399 
11 
22 
140 
45 
23 
18 
51 
38 
4 
9 
3 
18 
106 
23 
62 
96 
255 
44 
14 
46 
101 
32 
15 
32 
21 
111 
8 
19 
42 
138 
22 
46 
62 
11 
43 
86 
317 
252 
27 
19 
66 
170 
2 
151 
98 
77 
117 
28 
5 
27 
241 
24 
56 
7 
66 
213 
105 
1 
28 
38 
233 
23 
25 
16 
138 
58 
11 
57 
86 
8 
6 
2 
37 
79 
104 
53 
6 
22 
34 
30 
42 
98 
4 
7 
70 
15 
80 
24 
2 
44 
96 
9 
139 
118 
9 
68 
133 
18 
3 
27 
27 
44 
62 
31 
1 
216 
227 
92 
35 
35 
44 
8 
177 
24 
12 
3 
2 
13 
1 
6 
100 
28 
32 
112 
127 
83 
6 
215 
18 
213 
79 
51 
8 
120 
46 
67 
5 
16 
73 
1 
25 
119 
20 
87 
19 
17 
37 
27 
61 
40 
8 
68 
68 
124 
42 
107 
201 
54 
32 
91 
6 
2 
95 
94 
15 
142 
92 
282 
285 
44 
38 
19 
41 
6 
1 
73 
34 
181 
13 
39 
209 
59 
267 
5 
8 
172 
31 
36 
69 
47 
145 
11 
147 
82 
32 
3 
90 
86 
6 
14 
35 
202 
143 
63 
26 
12 
42 
4 
50 
60 
140 
2 
73 
44 
85 
5 
7 
164 
89 
3 
27 
74 
26 
168 
38 
30 
10 
84 
19 
8 
29 
108 
25 
4 
78 
65 
52 
16 
1 
127 
54 
31 
84 
5 
1 
33 
188 
117 
40 
69 
153 
56 
3 
39 
55 
