This includes the running steps:
271 
118 
84 
53 
25 
202 
39 
72 
112 
4 
143 
61 
38 
62 
39 
65 
43 
52 
52 
36 
91 
41 
17 
27 
50 
22 
102 
28 
77 
97 
91 
40 
69 
17 
32 
85 
69 
35 
54 
20 
35 
59 
13 
7 
7 
33 
46 
28 
99 
31 
14 
8 
42 
16 
17 
9 
52 
111 
7 
58 
27 
5 
78 
64 
36 
24 
16 
30 
2 
36 
14 
32 
55 
5 
29 
55 
14 
175 
13 
30 
5 
133 
11 
1 
5 
57 
64 
3 
17 
13 
12 
16 
19 
10 
70 
20 
3 
52 
1 
117 
38 
22 
13 
3 
32 
45 
5 
10 
16 
15 
1 
0 
16 
14 
17 
7 
5 
51 
1 
28 
16 
20 
6 
4 
8 
22 
36 
6 
17 
5 
6 
3 
36 
3 
8 
47 
2 
5 
33 
19 
2 
36 
120 
9 
2 
4 
90 
14 
14 
29 
10 
53 
9 
2 
32 
7 
26 
3 
16 
2 
20 
4 
4 
41 
3 
31 
5 
56 
4 
24 
28 
5 
3 
150 
3 
2 
19 
11 
20 
31 
17 
23 
3 
84 
18 
15 
45 
21 
66 
17 
11 
81 
1 
27 
17 
4 
7 
0 
2 
10 
57 
10 
12 
4 
16 
2 
3 
8 
2 
1 
15 
5 
55 
24 
0 
31 
3 
6 
1 
16 
36 
21 
40 
20 
10 
17 
0 
9 
45 
53 
48 
34 
14 
34 
3 
102 
22 
9 
44 
3 
23 
5 
4 
10 
3 
10 
6 
7 
1 
1 
19 
27 
2 
9 
3 
17 
10 
2 
11 
1 
49 
67 
2 
1 
6 
5 
12 
19 
24 
7 
3 
9 
9 
4 
3 
8 
1 
11 
10 
7 
14 
15 
43 
2 
2 
41 
8 
15 
123 
14 
1 
19 
68 
5 
13 
12 
1 
4 
2 
7 
22 
18 
23 
1 
25 
7 
1 
28 
11 
15 
4 
37 
2 
1 
19 
7 
3 
12 
7 
1 
40 
38 
17 
10 
17 
1 
5 
30 
10 
4 
2 
4 
20 
4 
33 
3 
26 
2 
21 
28 
52 
17 
3 
28 
1 
11 
41 
2 
9 
1 
3 
2 
13 
47 
40 
3 
9 
13 
6 
3 
2 
37 
18 
13 
14 
6 
30 
1 
15 
7 
25 
39 
113 
102 
49 
18 
31 
4 
27 
3 
10 
34 
32 
14 
3 
103 
7 
15 
3 
3 
1 
11 
9 
16 
8 
22 
24 
1 
12 
23 
10 
43 
5 
2 
4 
2 
5 
18 
13 
8 
1 
25 
28 
13 
23 
26 
2 
13 
36 
42 
1 
39 
3 
58 
17 
11 
1 
10 
1 
18 
10 
31 
2 
14 
5 
63 
47 
28 
24 
39 
27 
18 
13 
60 
1 
5 
53 
2 
1 
24 
48 
12 
2 
1 
1 
11 
4 
6 
14 
2 
1 
19 
11 
41 
3 
6 
11 
2 
5 
2 
13 
30 
2 
3 
15 
32 
3 
2 
43 
23 
84 
11 
2 
3 
19 
15 
8 
46 
24 
12 
24 
10 
29 
18 
3 
14 
14 
24 
1 
2 
