This includes the running steps:
32 
167 
94 
75 
170 
186 
52 
141 
4 
60 
102 
74 
25 
239 
33 
275 
283 
230 
500 
0 
61 
44 
45 
54 
60 
280 
173 
476 
126 
153 
19 
17 
160 
29 
254 
42 
443 
13 
23 
500 
471 
500 
70 
8 
27 
240 
248 
49 
402 
500 
112 
35 
117 
51 
206 
1 
83 
44 
56 
2 
161 
11 
85 
125 
19 
207 
342 
22 
95 
53 
73 
79 
20 
17 
56 
32 
67 
112 
206 
48 
122 
8 
3 
4 
27 
64 
30 
214 
28 
38 
133 
27 
26 
83 
12 
5 
59 
40 
53 
11 
38 
14 
82 
52 
45 
62 
5 
3 
36 
5 
9 
25 
40 
33 
20 
4 
20 
83 
14 
45 
39 
21 
3 
76 
25 
85 
20 
24 
10 
4 
68 
3 
1 
3 
57 
11 
2 
23 
20 
5 
33 
81 
103 
28 
13 
52 
13 
17 
43 
14 
14 
48 
83 
7 
10 
39 
49 
35 
52 
7 
63 
23 
6 
3 
16 
5 
4 
0 
17 
45 
5 
12 
26 
3 
60 
7 
2 
76 
3 
3 
18 
2 
62 
21 
121 
17 
6 
25 
78 
8 
5 
7 
85 
14 
2 
5 
27 
14 
39 
66 
7 
15 
10 
4 
8 
16 
8 
11 
27 
29 
43 
14 
3 
9 
2 
30 
4 
2 
16 
11 
11 
6 
37 
59 
7 
30 
18 
11 
21 
12 
7 
2 
2 
7 
1 
17 
54 
51 
19 
2 
0 
19 
77 
19 
32 
8 
41 
3 
15 
1 
20 
40 
4 
68 
41 
42 
5 
12 
3 
4 
15 
13 
36 
24 
74 
3 
20 
5 
35 
3 
3 
3 
19 
4 
7 
7 
53 
3 
32 
19 
3 
24 
20 
64 
12 
9 
25 
21 
5 
8 
19 
4 
9 
27 
41 
3 
48 
17 
47 
5 
1 
9 
8 
54 
79 
9 
1 
35 
6 
30 
1 
8 
15 
2 
19 
3 
12 
8 
1 
16 
2 
22 
9 
1 
38 
16 
8 
12 
9 
28 
5 
1 
1 
19 
50 
18 
12 
26 
4 
2 
1 
49 
3 
18 
7 
18 
18 
12 
2 
1 
1 
30 
13 
2 
24 
13 
5 
30 
53 
12 
72 
21 
1 
5 
3 
20 
7 
45 
3 
5 
4 
3 
1 
8 
30 
18 
26 
5 
3 
35 
9 
54 
12 
1 
20 
8 
35 
3 
11 
7 
4 
2 
13 
9 
18 
1 
12 
6 
13 
1 
25 
23 
15 
43 
41 
10 
1 
18 
17 
2 
37 
22 
55 
1 
28 
60 
28 
2 
18 
3 
19 
1 
3 
32 
19 
28 
58 
4 
1 
22 
74 
1 
2 
2 
13 
10 
2 
7 
25 
6 
4 
25 
25 
7 
10 
1 
1 
14 
2 
3 
3 
1 
10 
7 
27 
43 
25 
19 
28 
7 
44 
4 
7 
2 
16 
6 
16 
12 
1 
38 
53 
52 
2 
9 
4 
0 
19 
1 
1 
8 
76 
48 
2 
17 
6 
10 
6 
23 
17 
47 
38 
16 
39 
7 
30 
26 
3 
8 
16 
9 
